Titulo;Precio;m2;Telefono;Descripcion;Link;Direccion;Observaciones;
Avenida General Peron, 8;2.200;146;;  ;https://belbex.com/detalles/avenida-general-peron-8/ey2530/alquiler/;Avenida General Perón, 8Tetuán, Madrid, 28020;Planta Baja;
Avenida General Peron;1.200;25;;  ;https://belbex.com/detalles/avenida-general-peron/ga6264/alquiler/;Avenida General PerónTetuán, Madrid, 28020;Planta Baja;
Avenida General Peron;1.200;105;;  ;https://belbex.com/detalles/avenida-general-peron/ik5566/alquiler/;Avenida General PerónTetuán, Madrid, 28020;Planta Baja;
Calle Juan Pantoja, 15;900;106;;  ;https://belbex.com/detalles/calle-juan-pantoja-15/ao8561/alquiler/;Calle Juan Pantoja, 15Tetuán, Madrid, 28039;Planta Baja;
Calle Hernani, 49;2.800;371;;  ;https://belbex.com/detalles/calle-hernani-49/hx5714/alquiler/;Calle Hernani, 49Tetuán, Madrid, 28020;Planta Baja;
Calle Francia;2.200;180;;  ;https://belbex.com/detalles/calle-francia/on9927/alquiler/;Calle FranciaPozuelo de Alarcón, Madrid, 28224;Planta Baja;
Centro Comercial Plaza Mayor, Centro Comercial Plaza Mayor;Desde420;52   346;;  ;https://belbex.com/detalles/centro-comercial-plaza-mayor-centro-comercial-plaza-mayor/dn3045/alquiler/;Centro Comercial Plaza Mayor, Centro Comercial Plaza MayorRivas-Vaciamadrid, Madrid, 28529;Plantas Baja - Baja;
Centro Comercial Santa Monica, Calle Aloe;1.100;43;;  ;https://belbex.com/detalles/centro-comercial-santa-monica-calle-aloe/ow7860/alquiler/;Centro Comercial Santa Mónica, Calle AloeRivas-Vaciamadrid, Madrid, 28529;Planta 1;
Centro Comercial Santa Monica, Centro Comercial Santa Monica;1.350;59;;  ;https://belbex.com/detalles/centro-comercial-santa-monica-centro-comercial-santa-m-nica/qh0970/alquiler/;Centro Comercial Santa Mónica, Centro Comercial Santa MónicaRivas-Vaciamadrid, Madrid, 28529;Planta 1;
Paseo Provincias;1.500;146;;  ;https://belbex.com/detalles/paseo-provincias/be6828/alquiler/;Paseo ProvinciasRivas-Vaciamadrid, Madrid, 28529;Planta Baja;
Centro comercial La Vid, Calle Jose Celestino Mutis;1.700;183;;  ;https://belbex.com/detalles/centro-comercial-la-vid-calle-jose-celestino-mutis/wb9001/alquiler/;Centro comercial La Vid, Calle José Celestino MutisRivas-Vaciamadrid, Madrid, 28529;Planta Baja;
