Titulo;Precio;m2;Telefono;Descripcion;Link;Direccion;Observaciones;
Local Usera;3.000;517;911796238; Local de 517m² en venta y alquiler Climatizacion frio/calor El edificio cuenta con un centro de transformacion propio situado en el exterior. Proteccion de incendios Seguridad y vigilancia mediante circuito cerrado de tv. Aseos en zonas comunes Gastos de comunidad a cargo del inquilino Pla... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/san-fermin/159427562/d;Usera;;
Local Calle de Francisco Silvela, 19, Salamanca;1.500;100;918008716; ADAIX PUERTA DE TOLEDO TE PRESENTA Local comercial, EXCELENTE UBICACION en calle MUY COMERCIAL! BARRIO SALAMANCA   LISTA Consta de ZONA DIAFANA MUY LUMINOSA, separado de otras estancias con pladur, que puedes unir al salon principal, office y dos servicios. MEJOR VER! Tiene varias posibilida... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/aire-acondicionado-calefaccion-salida-de-humos/159427290/d;Calle de Francisco Silvela, 19, Salamanca;2 baños;
Local Calle de Fernandez de Los Rios, Chamberi;840;30;912665826; Bonito local en calle de mucho paso. Existe la posibilidad de disponer de salida de humos. Local todo en planta calle. Su ultima actividad fue una floristeria. Se encuentra en una zona que se caracteriza por ser muy frecuentada por personas jovenes y gran cantidad de peatones. Arapiles es una ... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/gaztambide/159425896/d;Calle de Fernández de Los Ríos, Chamberí;1 baño;
Local Puente de Vallecas;700;103;912182514; Local en venta y alquiler en Puente de Vallecas, de 103 metros de superficie. Local comercial ubicado en la planta baja de un edificio residencial. Bien situado, a poca distancia de la Avenida de la Paz y el Estadio de Vallecas. Buenas comunicaciones de transporte publico, cercano al me... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/aire-acondicionado-calefaccion-ascensor/159422650/d;Puente de Vallecas;;
Local Calle Ramon Sainz, Carabanchel;825;100;910752245; Local comercial en alquiler muy bien ubicado. Se divide en dos plantas. La plata de calle mide 35m2 y el sotano 65m2. El local se encuentra recien pintado y se situa escasos metros de la boca de metro de Vista Alegre (L5). Sobre la zona y transporte: Situado en el distrito de Carabanc... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/vista-alegre/152829371/d;Calle Ramón Sainz, Carabanchel;;
Local Villa de Vallecas;1.800;168;912182514; LOCAL EN VENTA EN VILLA DE VALLECAS, MADRID Conjunto de locales comerciales, unidos fisicamente formando una sola unidad funcional. Distribuida en planta baja y entreplanta, con despacho, 2 salas, 2 banos y amplio escaparate. Ubicada en la via principal de la zona. Este local de 169 metros... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/ensanche-de-vallecas---la-gavia/159421916/d;Villa de Vallecas;;
Local Puente de Vallecas;2.000;220;912182514; Local en Venta y Alquiler en Vallecas, Madrid Local comercial polivalente en la planta baja de un edificio residencial. Distribuido en una planta, con amplia fachada y 2 banos, situado proximo a la Av. de Albufera, via principal, que cuenta con buena comunicacion mediante transporte publico. ... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/san-diego/159421249/d;Puente de Vallecas;;
Local Calle de Clara del Rey, Chamartin;1.795;214;; Casas y Mas alquila Local con multiples posibilidades. Buenas comunicaciones tanto por carretera como por transporte publico. Con la linea de metro de Alfonso XIII a escasos pasos. Gran impacto visual desde el exterior. Zona residencial consolidada. Estupendo local comercial en alquil... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/prosperidad/159420965/d;Calle de Clara del Rey, Chamartín;2 baños;
Local Villa de Vallecas;1.300;287;912182514; Local en venta en Villa De Vallecas, Madrid Local ubicado en la planta baja de un edificio. Se encuentra en Villa de Vallecas y cuenta con buenas comunicaciones mediante transporte publico. Local construido en el ano 1960 y esta en buen estado. El Distrito de la Villa de Vallecas es un... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/casco-historico-de-vallecas/159420924/d;Villa de Vallecas;;
Local Puente de Vallecas;700;241;912182514; LOCAL EN VENTA EN PUENTE VALLECAS, MADRID Local comercial distribuid en planta baja y sotano, con 3 salas y 2 aseos. Dispone de amplio escaparate. Muy bien situado, a escasos metros de la Av. de Entrevias y de la estacion de tren de cercanias. 241 m2 superficie, Construido en 1972. Para r... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/entrevias/159418320/d;Puente de Vallecas;2 baños;
Nave industrialSan Blas;6.500;1563;911796238; Nave industrial de 1.565 m2 construidos en poligono con vigilancia 24h por camaras de seguridad. Planta baja de 930 m2 almacen con 9,5 m de altura con hall de entrada, sala de administracion, banos vestuarios y aseo. Planta 1º oficina de 128,01 m2 con sala de administracion diafana con ase... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/rejas/157628968/d;Nave industrialSan Blas;;
Local Tetuan;10.000;2300;916355961; Tailor & Key presenta este local de 2300m2 construidos totales con multiples posibilidades de uso. Ubicado en el popular barrio de Berruguete, distrito de Tetuan, Madrid. En una zona perfectamente comunicada tanto con el centro, como con el distrito de negocios, Azca, Plaza de Castilla, etc. ... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/berruguete/153970105/d;Tetuán;;
