estacion;codigo;lat;lon;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19
LAS MUSAS;132;40.43237524325332;-3.607525538370374;113.094;120.924;125.802;111.054;115.803;112.415;88.995;58.744;109.982;129.319;118.974;105.534
VENTAS;81;40.4306183903349;-3.6634214829652825;244.387;231.024;255.058;237.165;326.376;315.236;215.675;161.802;254.713;295.375;262.276;251.978
VENTAS;28;40.4306183903349;-3.6634805945818165;244.387;231.024;255.058;237.165;326.376;315.236;215.675;161.802;254.713;295.375;262.276;251.978
PLAZA DE CASTILLA;190;40.466055614528536;-3.6886030316089276;1.188.809;1.175.766;1.265.008;1.138.972;1.187.173;1.188.184;1.114.316;766.984;1.173.850;1.357.483;1.267.597;1.119.132
PLAZA DE CASTILLA;1;40.466055614528536;-3.6886976101953826;1.188.809;1.175.766;1.265.008;1.138.972;1.187.173;1.188.184;1.114.316;766.984;1.173.850;1.357.483;1.267.597;1.119.132
PLAZA DE CASTILLA;164;40.466055614528536;-3.6886503209021555;1.188.809;1.175.766;1.265.008;1.138.972;1.187.173;1.188.184;1.114.316;766.984;1.173.850;1.357.483;1.267.597;1.119.132
PUERTA DE ARGANDA;182;40.40128159511929;-3.595868727589795;241.565;250.620;254.364;217.198;222.105;208.463;172.997;119.637;211.196;251.578;229.816;196.014
FERIA DE MADRID;158;40.46270964841757;-3.6155883628656635;312.588;234.305;260.454;194.272;193.893;198.701;159.725;97.370;220.429;283.275;208.184;255.077
EUGENIA DE MONTIJO;99;40.385575859733024;-3.7517933496841787;124.959;122.587;132.847;117.155;126.862;120.210;103.370;75.836;116.758;137.530;132.586;127.752
LA FORTUNA;305;40.359849882827135;-3.77880735844039;56.048;51.816;58.468;54.895;56.723;56.870;54.180;43.998;53.555;59.022;57.214;58.197
ALSACIA;323;40.41805556770721;-3.623331984631667;154.051;131.387;140.497;125.300;131.649;145.044;128.067;96.622;142.571;166.899;162.682;168.309
LA ALMUDENA;322;40.42336144008897;-3.6389610960433565;97.425;81.093;85.876;76.787;83.629;93.032;84.309;63.171;92.170;109.139;106.480;107.721
PROSPERIDAD;65;40.44371974576673;-3.6745344668737454;185.181;176.431;186.815;166.502;172.991;168.944;151.599;100.872;156.308;193.530;188.570;172.748
ARTURO SORIA;68;40.455020106247005;-3.655736972815813;184.407;180.814;191.025;170.311;177.511;173.933;147.155;93.513;161.838;172.973;164.735;140.986
CANILLAS;70;40.46272730523082;-3.635024262382167;223.113;212.601;226.680;204.646;205.639;202.886;177.752;116.736;189.622;226.338;214.793;211.530
CIUDAD LINEAL;77;40.43749571909594;-3.6378379753292034;303.707;298.285;318.765;291.169;297.505;288.358;265.552;190.097;279.003;334.255;324.448;292.904
LA LATINA;90;40.41166380131055;-3.708310844561489;288.420;292.823;319.441;287.474;303.864;278.537;236.033;208.302;269.508;323.298;319.961;316.702
CARABANCHEL;98;40.38890416903074;-3.745397472775158;191.611;188.521;203.311;184.454;198.763;194.071;177.315;133.259;183.321;213.214;205.822;196.805
LISTA;62;40.429002791922485;-3.6752792732420785;145.179;147.087;155.922;139.349;139.557;132.611;114.097;64.081;124.083;151.845;145.955;126.342
LAGO;199;40.41686373281281;-3.7358095685732824;71.984;88.125;99.839;101.305;100.315;115.178;97.478;70.124;88.015;124.411;91.544;74.738
SOL;12;40.41711975660494;-3.7033336464492947;2.214.386;1.876.554;2.004.813;1.822.923;1.786.767;1.992.721;1.920.247;1.525.369;2.023.275;2.338.567;2.359.365;2.511.952
SOL;35;40.41709327138506;-3.7033336464492947;2.214.386;1.876.554;2.004.813;1.822.923;1.786.767;1.992.721;1.920.247;1.525.369;2.023.275;2.338.567;2.359.365;2.511.952
SOL;48;40.41705795775856;-3.7033336464492947;2.214.386;1.876.554;2.004.813;1.822.923;1.786.767;1.992.721;1.920.247;1.525.369;2.023.275;2.338.567;2.359.365;2.511.952
NUEVOS MINISTERIOS;120;40.44620052802841;-3.6921497286009908;1.622.249;1.628.280;1.706.969;1.513.873;1.545.851;1.374.740;1.251.865;826.457;1.415.090;1.673.169;1.554.440;1.396.065
